"srd_id","latitude","longitude","elev","Barren.PLAND","Evergreen.Needleleaf.Forests.PLAND","Evergreen.Broadleaf.Forests.PLAND","Deciduous.Needleleaf.Forests.PLAND","Deciduous.Broadleaf.Forests.PLAND","Mixed.Broadleaf.Needleleaf.Forests.PLAND","Mixed.Broadleaf.Evergreen.Deciduous.Forests.PLAND","Open.Forests.PLAND","Sparse.Forests.PLAND","Dense.Herbaceous.PLAND","Sparse.Herbaceous.PLAND","Dense.Shrublands.PLAND","Shrubland.Grassland.Mosaics.PLAND","Sparse.Shrublands.PLAND","Urban.PLAND","Forest.Cropland.Mosaics.PLAND","Natural.Herbaceous.Croplands.Mosaics.PLAND","Herbaceous.Croplands.PLAND","Woody.Wetlands.PLAND","Herbaceous.Wetlands.PLAND"
233265,52.7101107951387,-117.204467368087,2194,17.1829339567504,13.6469900642899,0,0,0,0,0,17.7089421390999,0.467562828755114,26.2419637638808,24.2548217416715,0,0.263004091174752,0.0584453535943892,0,0,0,0,0,0.204558737580362
234764,52.4703044337446,-117.745809211638,2135,24.2255990648743,20.2805376972531,0,0,0,0,0,14.260666277031,2.33781414377557,18.1765049678551,19.37463471654,0,0,0,0,0,0,0,0,2.13325540619521
234765,52.4703044337446,-117.352150335731,2187,20.8085612366231,16.973840665874,0,0,0,0,0,12.1581450653983,1.45659928656362,26.0107015457788,20.6004756242568,0,0.0297265160523187,0.0297265160523187,0,0,0,0,0,1.63495838287753
234766,52.4703044337446,-116.958491459823,2383,33.4307422559906,4.9094097019287,0,0,0,0,0,9.08825248392753,0.116890707188778,22.3553477498539,27.8784336645237,0,0,0,0,0,0,0,0,0.175336060783168
234767,52.4703044337446,-116.564832583915,1895,7.43162901307967,51.1890606420928,0,0,0,0,0,18.0737217598098,0.297265160523187,12.0986920332937,10.8501783590963,0,0,0,0,0,0,0,0,0.802615933412604
236263,52.2304980723505,-118.283335257239,1760,16.79548156956,20.2734839476813,0,0,0.118906064209275,0.297265160523187,0,19.2925089179548,3.12128418549346,20.3032104637336,12.3067776456599,0.118906064209275,0,0,0,0,0,0,0,1.15933412604043
236264,52.2304980723505,-117.891806263436,2331.5,28.2996432818074,4.87514863258026,0,0,0.0594530321046373,0,0,6.56956004756243,1.4268727705113,8.20451843043995,5.29131985731272,0,0,0,0,0,0,0,0,0.356718192627824
236265,52.2304980723505,-117.500277269632,2364,38.525564803805,5.23186682520809,0,0,0,0,0,5.61831153388823,0.980975029726516,9.75029726516052,9.80975029726516,0,0,0,0,0,0,0,0,2.11058263971463
236266,52.2304980723505,-117.108748275828,2338,38.4862653419053,3.8281706604325,0,0,0,0,0,12.010520163647,1.37346580946815,20.3389830508475,20.1636469900643,0,0,0,0,0,0,0,0,0.555230859146698
236267,52.2304980723505,-116.717219282025,2197,17.4197384066587,15.6064209274673,0,0,0,0,0,15.2794292508918,0.624256837098692,23.2758620689655,24.0487514863258,0,0,0,0,0,0,0,0,0.267538644470868
