"longitude","latitude","Sparse.Herbaceous.PLAND","Open.Forests.PLAND","Barren.PLAND","Urban.PLAND","Herbaceous.Croplands.PLAND","Sparse.Forests.PLAND","Evergreen.Needleleaf.Forests.PLAND","Dense.Herbaceous.PLAND","Mixed.Broadleaf.Needleleaf.Forests.PLAND","Herbaceous.Wetlands.PLAND","Sparse.Shrublands.PLAND","Shrubland.Grassland.Mosaics.PLAND","Deciduous.Broadleaf.Forests.PLAND","Dense.Shrublands.PLAND"
-117.2044674,52.7101108,25.45295149,14.69900643,19.69608416,0,0,2.045587376,14.2314436,23.23202805,0,0.292226768,0.029222677,0.058445354,0,0
-117.7458092,52.47030443,22.53068381,18.70251315,23.64114553,0,0,5.493863238,10.9585038,17.1244886,0,2.542372881,0,0,0,0
-117.3521503,52.47030443,21.93816885,16.97384067,22.35434007,0,0,3.507728894,9.066587396,23.98929845,0,2.437574316,0.029726516,0.059453032,0,0
-116.9584915,52.47030443,28.842782,7.071887785,35.73933372,0,0,0.672121566,5.698421975,18.90707189,0,0.204558738,0.08766803,0,0,0
-116.5648326,52.47030443,10.99881094,13.73365042,8.174791914,0,0,0.356718193,54.8156956,11.80142687,0.029726516,0.653983353,0.059453032,0,0,0
-118.2833353,52.23049807,14.38763377,14.92271106,14.20927467,0,0,7.639714625,18.37098692,19.88703924,0.564803805,1.664684899,0,0,0.089179548,0
-117.8918063,52.23049807,6.272294887,3.804994055,23.92984542,0,0,4.072532699,3.329369798,8.977407848,0.029726516,0.891795482,0,0,0,0
-117.5002773,52.23049807,11.59334126,5.766944114,34.83947681,0,0,2.11058264,3.656361474,8.977407848,0,2.199762188,0,0,0,0
-117.1087483,52.23049807,20.95265926,11.25073057,37.0251315,0,0,2.659263589,3.82817066,18.41028638,0,1.110461718,0,0,0,0
-116.7172193,52.23049807,26.27824019,14.03091558,17.50891795,0,0,1.961950059,15.16052319,20.71938169,0,0.862068966,0,0,0,0
-116.3256903,52.23049807,19.40385739,11.60140269,8.796025716,0,0,0.584453536,44.88603156,11.65984804,0,0.379894798,0,0,0,0
-118.0382886,51.99069171,8.263971463,17.50891795,6.123662307,0,0,4.221165279,35.64209275,16.46848989,0.594530321,2.348394768,0,0,0.505350773,0
-117.6488598,51.99069171,14.35790725,13.37693222,21.90844233,0,0,5.558858502,11.26634958,23.90011891,0.237812128,0.98097503,0,0,0.118906064,0.029726516
-117.259431,51.99069171,13.1391201,5.202140309,31.3020214,0,0,2.467300832,4.845422117,19.08442331,0.14863258,2.170035672,0,0,0.14863258,0
-116.8700022,51.99069171,18.07372176,11.59334126,28.68608799,0,0,2.467300832,11.77170036,19.97621879,0,5.053507729,0,0,0,0
-116.4805733,51.99069171,26.35885447,10.22793688,24.3132671,0,0,1.987142022,6.75043834,28.66744594,0,0.789012274,0,0.08766803,0,0
-116.0911445,51.99069171,24.79191439,23.81093936,6.62901308,0,0,2.675386445,14.03091558,27.67538644,0,0.208085612,0.029726516,0.178359096,0,0
-115.7017157,51.99069171,6.136762127,24.51782583,0.058445354,0,0,1.052016365,61.36762127,6.867329047,0,0.08766803,0,0,0,0
-117.4105515,51.75088535,14.00118906,21.46254459,12.18787158,0,0,5.261593341,20.27348395,21.34363853,0.118906064,2.853745541,0,0,0.089179548,0.029726516
-117.0231937,51.75088535,13.16884661,13.46611177,28.21046373,0,0,3.626634958,7.847800238,15.78478002,0.297265161,0.743162901,0,0.029726516,0.029726516,0.059453032
-116.6358359,51.75088535,17.27110583,12.39595719,34.57193817,0,0,4.756242568,3.923900119,15.30915577,0,1.545778835,0,0,0,0
-116.2484781,51.75088535,23.92984542,11.71224732,36.53388823,0,0,2.972651605,3.715814507,19.97621879,0,0.802615933,0,0,0,0
-115.8611203,51.75088535,24.51782583,19.17007598,18.96551724,0,0,1.841028638,8.445353594,26.56341321,0,0.409117475,0.029222677,0.029222677,0,0
-115.4737625,51.75088535,7.401902497,44.58977408,0.832342449,0,0,1.486325803,25.95124851,19.61950059,0.029726516,0.594530321,0,0.089179548,0,0
-116.791491,51.51107899,15.5469679,19.79785969,14.14982164,0,0,4.310344828,25.68370987,19.4411415,0.208085612,0.832342449,0,0,0.029726516,0
-116.4061755,51.51107899,15.27942925,16.76575505,21.93816885,0.059453032,0,4.042806183,13.64447087,16.8549346,0.059453032,1.337693222,0,0,0.089179548,0
-116.0208601,51.51107899,22.50297265,13.61474435,22.11652794,0,0,6.807372176,6.093935791,25.89179548,0,0.832342449,0,0,0,0
-115.6355447,51.51107899,27.34839477,14.95243757,15.42806183,0,0,2.25921522,13.76337693,25.921522,0,0.386444709,0,0.118906064,0,0
-115.2502293,51.51107899,4.967855056,29.86557569,0.467562829,0,0,1.373465809,54.29573349,8.620689655,0.204558738,0.876680304,0.08766803,0,0,0
-116.5642499,51.27127263,15.19579193,27.84921099,12.03974284,0,0,6.136762127,23.72881356,13.61776739,0.350672122,0.935125658,0,0,0,0
-116.1809488,51.27127263,20.33293698,21.01664685,23.45422117,0,0,4.8156956,11.8608799,16.73602854,0,0.624256837,0,0,0,0
-115.7976477,51.27127263,16.52794293,31.33174792,8.026159334,0,0,3.210463734,26.72413793,13.97146254,0,1.099881094,0,0,0,0
-115.4143465,51.27127263,25.71343639,20.06539834,6.866825208,0,0,4.607609988,17.27110583,22.82996433,0.386444709,0.921521998,0,0,0,0
-115.0310454,51.27127263,11.32580262,25.32699168,3.745541023,0,0.14863258,4.102259215,25.921522,27.52675386,1.337693222,1.12960761,0,0,0.208085612,0
-114.6477443,51.27127263,0.496785506,17.8842782,0,1.490356517,22.64757452,0.584453536,22.03389831,55.63997662,2.600818235,0.08766803,0,0,0.116890707,0
-116.3413999,51.03146627,7.130333139,33.51841029,1.373465809,0,0,3.82817066,40.73641146,13.41320865,0,0.964348334,0,0,0,0
-115.9600854,51.03146627,25.42372881,19.76443551,13.4731399,0,0,5.199655271,2.010916403,33.61103131,0,0.287273772,0,0,0,0
-115.578771,51.03146627,23.26125073,27.46931619,8.007013442,0,0,6.253652835,9.585037989,24.95616598,0.029222677,0.379894798,0,0,0,0
-115.1974565,51.03146627,12.85797779,37.43424898,1.139684395,0.847457627,0,7.364114553,29.86557569,11.25073057,0,1.110461718,0,0,0,0
-114.8161421,51.03146627,3.506721216,37.60958504,0.438340152,0,0,3.156049094,31.94038574,11.89362946,10.46171829,0.116890707,0,0,0.438340152,0
-112.5282554,51.03146627,1.580005745,0,0.229819018,0,79.08646941,0,0,97.21344441,0,0.603274921,0,0,0,0
-112.146941,51.03146627,0.321449445,0,0,0,31.76504968,0,0,99.67855056,0,0.233781414,0,0,0,0
-111.7656265,51.03146627,0.029222677,0,0,0,3.565166569,0,0,99.97077732,0,0,0,0,0,0
-111.3843121,51.03146627,0.116890707,0,0,0,0.409117475,0,0,99.88310929,0,0,0,0,0,0
-111.0029976,51.03146627,0.029222677,0,0,0,0.204558738,0,0,99.97077732,0,0,0,0,0,0
-116.1228717,50.7916599,4.880187025,38.63237873,0.116890707,0.08766803,0,2.92226768,40.91174752,12.47808299,0.029222677,1.431911163,0,0,0,0
-115.7435168,50.7916599,22.38406659,27.31866825,11.65279429,0,0,5.529131986,14.92271106,17.86563615,0,0.475624257,0,0,0,0
-115.364162,50.7916599,21.01110462,24.48860316,16.18936295,0,0,6.575102279,11.39684395,19.57919345,0,0.233781414,0,0,0,0
-114.9848071,50.7916599,24.28656361,24.79191439,5.618311534,0,0,5.142687277,23.18668252,16.02259215,0.594530321,0.416171225,0,0,0,0
-114.6054523,50.7916599,3.180737218,31.86682521,0.14863258,0.118906064,6.62901308,2.615933413,31.06420927,25.29726516,5.142687277,0.356718193,0,0,0.208085612,0
-113.0880328,50.7916599,0.416171225,0,0.029726516,0.059453032,67.7764566,0,0,99.49464923,0,0.089179548,0,0,0,0
-112.708678,50.7916599,0.759789597,0,0.204558738,0,52.63004091,0,0,99.03565167,0,0.029222677,0,0,0,0
-112.3293231,50.7916599,0.505350773,0,0.237812128,0.118906064,64.92271106,0,0,99.22711058,0,0.267538644,0,0,0,0
-111.9499683,50.7916599,0.321449445,0,0.204558738,0.058445354,60.78316774,0,0,99.29865576,0,0.233781414,0,0,0,0
-111.5706134,50.7916599,2.437574316,0,0,0,7.966706302,0,0,97.56242568,0,0,0,0,0,0
-111.1912586,50.7916599,0.297265161,0,0,0,1.843043995,0,0,99.70273484,0,0,0,0,0,0
-110.8119037,50.7916599,0.089179548,0,0,0,5.79667063,0,0,99.91082045,0,0,0,0,0,0
-110.4325489,50.7916599,1.040428062,0,0,0,4.66706302,0,0,98.95957194,0,0,0,0,0,0
-110.053194,50.7916599,0.613676213,0,0,0,18.73173583,0,0,99.38632379,0,0,0,0,0,0
-115.9085981,50.55185354,1.081239041,46.84395091,0.058445354,0.409117475,0,3.243717124,41.40853302,7.364114553,0,0.847457627,0,0,0,0
-115.5311762,50.55185354,14.07641482,31.62884229,4.797471991,0,0,6.061476587,28.44010342,14.93823614,0,0.316001149,0,0,0,0
-115.1537544,50.55185354,15.02045587,24.72238457,14.90356517,0,0,7.188778492,20.60198714,16.18936295,0,0.146113384,0,0,0,0
-114.7763325,50.55185354,17.3800632,22.23498995,4.538925596,0,1.235277219,5.601838552,24.87790865,24.3033611,0.746911807,0.459638035,0,0,0.057454754,0
-114.3989106,50.55185354,1.636469901,14.64056108,0.08766803,0,35.27177089,0.964348334,28.31677382,52.36703682,1.578024547,0.146113384,0,0,0.204558738,0
-112.8892231,50.55185354,0.71818443,0,0.517092789,0,63.68859523,0,0,95.80580293,0,0.71818443,0,0,0,0
-112.5118012,50.55185354,0.263004091,0,0.029222677,0,37.52191701,0,0,99.38632379,0,0.233781414,0,0,0,0
-112.1343793,50.55185354,1.091640333,0,0.344728526,0,27.23355358,0,0,95.23125539,0,1.206549842,0,0,0,0
-111.7569575,50.55185354,1.168907072,0,0.496785506,0.701344243,30.4792519,0,0,97.42840444,0,0.81823495,0,0,0,0
-111.3795356,50.55185354,0.028727377,0,0,0,5.745475438,0,0,99.97127262,0,0,0,0,0,0
-111.0021137,50.55185354,0.701344243,0,0,0,0.08766803,0,0,99.29865576,0,0,0,0,0,0
-110.6246918,50.55185354,3.82817066,0,0.204558738,0,2.863822326,0,0,95.9672706,0,0,0,0,0,0
-110.2472699,50.55185354,2.454704851,0,0.146113384,0,40.70718878,0,0,97.39918177,0,0,0,0,0,0
-109.8698481,50.55185354,0.496785506,0,0,0,67.67971946,0,0,99.50321449,0,0,0,0,0,0
-109.4924262,50.55185354,0.057454754,0,0,0,79.23010629,0,0,99.94254525,0,0,0,0,0,0
-116.4495437,50.31204718,14.92271106,22.7705113,14.95243757,0,0,7.936979786,18.40071344,17.53864447,0.089179548,0.059453032,0,0.029726516,0,0
-116.0740287,50.31204718,7.223543401,46.75980975,3.745541023,0,0,6.450653983,23.00832342,10.85017836,0.059453032,0.891795482,0,0,0,0
-115.6985136,50.31204718,4.997077732,49.00642899,0.672121566,0.08766803,0,4.704850964,29.51490357,10.90005845,0.058445354,0.73056692,0,0,0,0
-115.3229986,50.31204718,11.50416171,40.01189061,2.734839477,0,0,5.439952438,20.48156956,19.73840666,0.029726516,0.118906064,0,0,0,0
-114.9474835,50.31204718,14.08533022,31.76504968,6.75043834,0,0,4.354178843,19.19929866,23.58270018,0.058445354,0.058445354,0,0,0,0
-114.5719685,50.31204718,4.904875149,37.960761,0.267538644,0,0,6.034482759,31.98573127,15.90368609,1.961950059,0.535077289,0,0,0.713436385,0
-114.1964534,50.31204718,0.467562829,13.76388077,0,0,9.02980713,2.19170076,3.82817066,76.12507306,2.133255406,0.08766803,0,0,0.964348334,0
-113.8209384,50.31204718,0,0,0,0.118906064,88.7039239,0,0,100,0,0,0,0,0,0
-113.0699083,50.31204718,1.753864447,0,1.27824019,0.208085612,80.91557669,0,0,96.58145065,0,0.445897741,0,0,0,0
-112.3188782,50.31204718,0.233781414,0,0.146113384,0,63.61776739,0,0,99.21098773,0,0.233781414,0,0,0,0
-111.9433631,50.31204718,0.862068966,0,0.267538644,0,42.41973841,0,0,98.30558859,0,0.683709869,0,0,0,0
-111.5678481,50.31204718,0.759789597,0,0.526008182,0,18.43950906,0,0,95.82115722,0,0.701344243,0,0,0,0
-111.192333,50.31204718,0.386444709,0,0,0,0.505350773,0,0,99.61355529,0,0.059453032,0,0,0,0
-110.816818,50.31204718,0.204558738,0,0,0,0.058445354,0,0,99.79544126,0,0,0,0,0,0
-110.4413029,50.31204718,0.14863258,0,0,0,7.461355529,0,0,99.85136742,0,0,0,0,0,0
-110.0657879,50.31204718,1.367419738,0,0,0,68.04399524,0,0,98.63258026,0,0,0,0,0,0
-109.6902728,50.31204718,0.267538644,0,0,0,78.26991677,0,0,99.73246136,0,0,0,0,0,0
-109.3147578,50.31204718,2.437574316,0,0.98097503,0,29.96432818,0,0,96.58145065,0,0.029726516,0,0,0,0
-120.7234289,50.07224082,0.297265161,42.80618312,0.029726516,1.545778835,0.713436385,2.972651605,22.05707491,31.68846611,0.14863258,0.059453032,0,0,0,0
-120.349795,50.07224082,0.237812128,40.66587396,0.297265161,0,0.208085612,1.545778835,10.99881094,44.05469679,0,0.505350773,0,0,0,0
-119.9761611,50.07224082,0.326991677,48.27586207,0.267538644,0,0.237812128,1.337693222,25.53507729,24.078478,0.029726516,0.297265161,0,0,0,0
-116.613456,50.07224082,16.20095125,22.85969084,9.690844233,0,0,9.661117717,19.64922711,19.56004756,0.208085612,0.326991677,0,0,0.208085612,0
-116.2398221,50.07224082,11.14744352,39.98216409,3.983353151,0,0,11.20689655,20.03567182,13.49583829,0.059453032,0,0,0,0.089179548,0
