"longitude","latitude","Dense.Herbaceous.PLAND","Sparse.Forests.PLAND","Sparse.Shrublands.PLAND","Evergreen.Needleleaf.Forests.PLAND","Herbaceous.Wetlands.PLAND","Open.Forests.PLAND","Herbaceous.Croplands.PLAND","Mixed.Broadleaf.Needleleaf.Forests.PLAND","Sparse.Herbaceous.PLAND","Dense.Shrublands.PLAND","Barren.PLAND","Shrubland.Grassland.Mosaics.PLAND","Urban.PLAND"
-120.349795,50.07224082,44.05469679,1.545778835,0,10.99881094,0.505350773,40.66587396,0.208085612,0,0.237812128,0,0.297265161,0,0
-122.6297536,49.35282174,1.373465809,1.811805961,0,84.83343074,0.759789597,1.899473992,0,4.091174752,0.263004091,0,0,0,0
-121.8934733,49.35282174,7.818073722,3.002378121,0,71.55172414,1.189060642,3.359096314,0.624256837,5.023781213,0.564803805,0,0.029726516,0,0.029726516
-119.6846326,49.35282174,19.23305589,3.151010702,0,26.6646849,0.594530321,50.44589774,0,0,0.326991677,0,0.178359096,0,0.416171225
-122.4022477,49.11301537,23.63258026,46.73008323,0,7.193816885,2.526753864,4.51843044,12.99048751,12.99048751,0.475624257,0,0.743162901,0,14.03091558
-122.0358904,49.11301537,20.83576856,7.364114553,0,49.70777323,1.168907072,2.746931619,10.11104617,15.51724138,0.409117475,0,0.233781414,0,1.782583285
-119.8377465,49.11301537,37.72294887,7.282996433,0,13.882283,0.386444709,38.5255648,0.208085612,0,1.961950059,0,0.178359096,0,0.445897741
-119.1050319,49.11301537,19.64922711,3.864447087,0,18.72770511,0,57.66944114,0,0.059453032,0.029726516,0,0,0,0.267538644
-119.6268783,48.87320901,59.02980713,4.763296318,0,8.85447107,0.759789597,25.59906487,0.64289889,0,1.110461718,0,0.116890707,0,0.263004091
-119.2622803,48.87320901,49.32787843,7.48100526,0,10.49094097,0.613676213,31.99883109,0.350672122,0,0.233781414,0,0.116890707,0,1.168907072
-118.8976822,48.87320901,34.15685148,4.9123815,0,11.28985924,0,49.64090779,0,0,0,0,0,0,0
-118.5330842,48.87320901,20.33898305,6.136762127,0,15.60490941,0,57.91934541,0,0,0,0,0,0,0.058445354
-119.7829696,48.63340265,52.82401902,8.382877527,0,5.79667063,0.089179548,32.31272295,0,0,0.683709869,0,0,0,0.386444709
-119.4201076,48.63340265,55.35077289,3.953626635,0,4.280618312,0,36.41498216,0.029726516,0,0,0,0,0,1.040428062
-119.0572457,48.63340265,41.34958383,4.756242568,0,4.607609988,0,49.28656361,0.178359096,0,0,0,0,0,0.118906064
-120.300821,48.39359629,39.64378052,19.30479747,0,11.0887676,0.057454754,23.24044815,0,0,5.458201666,0,1.264004596,0,0.459638035
-119.9396724,48.39359629,71.50789012,8.474576271,0,2.688486265,0,17.27060199,0.146113384,0,0.058445354,0,0,0,0.321449445
-119.5785239,48.39359629,73.05669199,7.627118644,0,1.052016365,0.263004091,17.03682057,0.029222677,0,0.496785506,0,0.438340152,0,3.711279953
-119.2173753,48.39359629,43.8340152,5.026300409,0,2.425482174,0,48.62653419,0.175336061,0,0.08766803,0,0,0,0.701344243
-120.0969963,48.15378993,65.1902497,10.13674197,0,10.85017836,0.713436385,9.096313912,1.159334126,0.029726516,4.280618312,0,0.267538644,0,0.802615933
-119.7375387,48.15378993,90.82407949,3.945061368,0,1.110461718,1.110461718,1.957919345,4.821741672,0,0.73056692,0,0.233781414,0,0.847457627
